option_name	size_kb	action
jetpack_active_plan	15.52	TIER_A_DELETE
elementskit-lite__banner_data	11.28	TIER_A_DELETE
aioseo_options	9.68	TIER_A_DELETE
jetpack_plugin_api_action_links	8.73	TIER_A_DELETE
essential_all_blocks	7.91	TIER_A_DELETE
elementskit-lite__stories_data	5.36	TIER_A_DELETE
aioseo_options_dynamic	3.82	TIER_A_DELETE
jetpack_sync_settings_post_meta_whitelist	3.77	TIER_A_DELETE
jetpack_sync_settings_taxonomies_blacklist	3.75	TIER_A_DELETE
woocommerce-ppcp-settings	3.66	TIER_A_DELETE
eael_save_settings	2.31	TIER_A_DELETE
jp_sync_error_log_sync	2.13	TIER_A_DELETE
eb_global_styles	1.92	TIER_A_DELETE
eael_global_settings	1.91	TIER_A_DELETE
wpins_essential_adons_elementor_c271d993a7addcfcfc8f	1.29	TIER_A_DELETE
jetpack_available_modules	1.25	TIER_A_DELETE
woocommerce_ppcp_settings	1.22	TIER_A_DELETE
jetpack_constants_sync_checksum	1.19	TIER_A_DELETE
woocommerce_ppcp_api_settings	1.16	TIER_A_DELETE
jetpack_sync_settings_post_types_blacklist	0.96	TIER_A_DELETE
woocommerce_paypal_settings	0.77	TIER_A_DELETE
aioseo_options_internal	0.57	TIER_A_DELETE
aioseo_options_dynamic_localized	0.37	TIER_A_DELETE
jetpack_sync_settings_full_sync_limits	0.34	TIER_A_DELETE
woocommerce_ppcp_advanced_settings	0.33	TIER_A_DELETE
jetpack_options	0.24	TIER_A_DELETE
jetpack_sync_settings_known_importers	0.21	TIER_A_DELETE
jetpack_active_modules	0.16	TIER_A_DELETE
aioseo_options_internal_lite	0.14	TIER_A_DELETE
jetpack_sync_settings_comment_meta_whitelist	0.12	TIER_A_DELETE
jetpack_search_plan_info	0.11	TIER_A_DELETE
jetpack_private_options	0.09	TIER_A_DELETE
jetpack_sync_https_history_home_url	0.08	TIER_A_DELETE
jetpack_sync_https_history_site_url	0.08	TIER_A_DELETE
jetpack_sync_https_history_main_network_site_url	0.08	TIER_A_DELETE
jetpack_updates_sync_checksum	0.07	TIER_A_DELETE
eb_settings	0.07	TIER_A_DELETE
jetpack_sync_health_status	0.07	TIER_A_DELETE
jetpack_connection_active_plugins	0.06	TIER_A_DELETE
jetpack_package_versions	0.04	TIER_A_DELETE
