@@@TOPICS@@@
ID,post_title,post_parent,menu_order
36211,"التحدي الاول من مسائل بايثون",29368,2
30876,"(Binary Search Tree) Unit Six | Traversal",30816,7
30875,"Unit Five | Binary Search Tree",30816,6
31714,"IntelliJ IDE | تحميل وتعلم",31578,6
33322,"QUESTIONSℹ️ | اسئلة ومشاريع عن الوارثة وحاجات مهمة",31578,8
31716,"Polymorphism | تعدد الاشكال",31578,9
34341,"Exception handling | عشان تكون فعلا مبرمج🧑🏼‍💻",31578,13
31707,"مقدمة ال OOP | Object Oriented Programming",31578,1
32330,"Interfaces | الواجهات",31578,12
31717,"Abstraction | التجريد",31578,11
31715,"Inheritance | الوراثة 👪",31578,7
32762,"بيتم تحديث الكويزات الخاصة بالكورس ⏳",24443,10
32521,"حاجات مهمة جدا جدا 🎯",31578,5
31713,"UML Diagram (شغل شركات💻)",31578,4
31712,"Encapsulation | اخفاء البيانات🥷",31578,3
31711,"Classes And Objects",31578,2
31633,"هتفرق معانا بشكل كبير ❤️",24443,9
30855,"Unit Three | Applications Of Stack",30816,4
30953,"هنتعلم ايه ؟",30816,1
30912,"المستوي الثاني من هياكل البيانات",11287,10
30877,"Unit 7 | Graph",30816,8
30874,"Unit Four | Tree",30816,5
30829,"Unit Two | Circular Queue",30816,3
30817,"Unit One | Circular Linked List",30816,2
29370,"📘 مشاريع بايثون للمبتدئين",29368,1
27374,"الوحدة الثامنة (ArrayList , Collection)",27279,8
27353,"الوحدة السابعة (Arrays)",27279,7
27336,"الوحدة السادسة (String)",27279,6
27327,"الوحدة الخامسة (Functions)",27279,5
27317,"الوحدة الرابعة (Loops)",27279,4
27304,"الوحدة الثالثة (if , switch)",27279,3
27285,"الوحدة الثانية (المتغيرات)",27279,2
27280,"الوحدة الاولي (ما هي البرمجة وتاريخ لغة جافا)",27279,1
27267,"فخور بيك | ما هي الخطوة التالية ؟",27177,9
27265,"ما هي هياكل البيانات",27177,1
27254,"الوحدة السابعة | Queue Using Linked List",27177,8
27241,"الوحدة السادسة | Queue Using Array",27177,7
27234,"الوحدة الخامسة | Stack using Linked List",27177,6
27224,"الوحدة الرابعة : Stack Using Array",27177,5
27209,"الوحدة الثالثة | Double Linked List",27177,4
27193,"الوحدة الثانية : Linked List",27177,3
27178,"الوحدة الاول : Array And Pointers",27177,2
26770,"الوحدة الرابعة (Loops)",24443,4
26895,"الوحدة الثامنة (ArrayList , Collection)",24443,8
26861,"الوحدة السابعة (Arrays)",24443,7
26831,"الوحدة السادسة (String)",24443,6
26800,"الوحدة الخامسة (Functions)",24443,5
26732,"الوحدة الثالثة (if , switch)",24443,3
26699,"الوحدة الثانية (المتغيرات)",24443,2
24444,"الوحدة الاولي (ما هي البرمجة وتاريخ لغة جافا)",24443,1
24120,"فخور بيك | ما هي الخطوة التالية ؟",11287,9
11642,"الوحدة السابعة | Queue Using Linked List",11287,8
11641,"الوحدة السادسة | Queue Using Array",11287,7
